
[00:00:00.000 --> 00:00:01.400]   Message publicitaire.
[00:03:00.300 --> 00:03:03.700]   Famille, façole d'eau, viens danser avec lui.
[00:03:03.700 --> 00:03:04.820]   C'est Adrien Meignet.
[00:03:04.820 --> 00:03:11.580]   Mon chanteur préféré quand j'étais enfant.
[00:03:11.580 --> 00:03:12.480]   J'y vais rentrer ?
[00:03:12.480 --> 00:03:12.640]   Oui.
[00:03:12.640 --> 00:03:14.860]   Il y a des super chansons.
[00:03:14.860 --> 00:03:17.260]   Je connais ça, ce sont des musiciennes.
[00:03:17.260 --> 00:03:18.180]   Non, mais The Fool.
[00:03:18.180 --> 00:03:19.840]   The Fool, c'est vachement bien.
[00:03:19.840 --> 00:03:21.340]   The Fool, elle n'existe pas qu'en live.
[00:03:21.340 --> 00:03:23.620]   J'arrive jamais à la trouver en live, pas du tout.
[00:03:23.620 --> 00:03:24.860]   Non, je crois que c'est...
[00:03:24.860 --> 00:03:27.440]   Il y a Amsterdam, le parc d'Amsterdam de Jacques Brel.
[00:03:27.440 --> 00:03:28.580]   Mais The Fool, toi, tu ne la reprenais pas.
[00:03:28.580 --> 00:03:29.980]   Jacques Brel et Gilbert Montagnier.
[00:03:29.980 --> 00:03:31.880]   Tu ne la reprenais pas à la guitare The Fool.
[00:03:31.880 --> 00:03:33.760]   Tu ne m'en avais pas parlé sur le tournoi, justement.
[00:03:33.760 --> 00:03:35.580]   Je pensais que tu te foutais de ma gueule.
[00:03:35.580 --> 00:03:36.220]   Ce n'est pas impossible.
[00:03:36.220 --> 00:03:38.920]   Je croyais que personne ne connaissait The Fool.
[00:03:38.920 --> 00:03:40.260]   Mais si, tout le monde.
[00:03:40.260 --> 00:03:45.180]   C'est vrai qu'on a plutôt tendance à jouer Wonderwall à la guitare sèche que The Fool.
[00:03:45.180 --> 00:03:46.860]   Mais on ne sait pas que c'est Gilbert Montagnier.
[00:03:46.860 --> 00:03:48.500]   Personne ne le sait, à part...
[00:03:48.500 --> 00:03:49.040]   Oui, c'est vrai.
[00:03:49.040 --> 00:03:51.220]   Et puis, à l'époque, il n'était pas...
[00:03:51.220 --> 00:03:53.680]   Enfin, Sarkozy n'était pas là, donc il n'était pas soutien de Sarkozy non plus.
[00:03:53.680 --> 00:03:54.240]   C'est vrai.
[00:03:54.240 --> 00:03:56.000]   Ça a pris le pas, malheureusement, comme beaucoup.
[00:03:56.000 --> 00:03:59.220]   Il en est devenu un beau The Fool quand il a soutenu Sarkozy.
[00:03:59.220 --> 00:04:02.660]   Non, mais je vous le dis, je vous le dis, après ces élections,
[00:04:02.660 --> 00:04:04.800]   je suis...
[00:04:04.800 --> 00:04:05.480]   Il est France Inter.
[00:04:05.480 --> 00:04:08.260]   Il est devenu France Inter, littéralement, en l'intégralité.
[00:04:08.260 --> 00:04:09.200]   Appelez-moi France Inter.
[00:04:09.200 --> 00:04:12.460]   Je ne serais pas le pire que vous ayez appelé.
[00:04:12.460 --> 00:04:15.380]   On commence avec les news du Floodcast.
[00:04:15.380 --> 00:04:18.180]   Les villes de Busserotte et Montenay.
[00:04:18.480 --> 00:04:21.140]   Alors, c'est Boule-Rotte, c'est une marque de streetwear, par contre.
[00:04:21.140 --> 00:04:22.500]   Busserotte et Montenay.
[00:04:22.500 --> 00:04:26.400]   De Leclat, de Caterveil, de Tessier et de Héour.
[00:04:26.400 --> 00:04:27.480]   Non, Tesser, c'est des jus de chiro.
[00:04:27.480 --> 00:04:29.320]   C'est des trucs pas très chers, Rick et Rock.
[00:04:29.320 --> 00:04:31.600]   Et de Héour ont un point commun.
[00:04:31.600 --> 00:04:33.080]   À votre avis, lequel ?
[00:04:33.080 --> 00:04:34.020]   Tu peux redire les noms ?
[00:04:34.020 --> 00:04:35.440]   Alors, ça ne va pas vous céder, mais je peux vous le dire.
[00:04:35.440 --> 00:04:41.440]   Busserotte et Montenay, Leclat, Caterviel, Tesser, Tesserier...
[00:04:41.440 --> 00:04:42.540]   Cap de Vielle, un chanteur, oui.
[00:04:42.540 --> 00:04:46.280]   Et de Héour ont un point commun, à votre avis, lequel ?
[00:04:46.280 --> 00:04:47.340]   Elles n'existent pas ?
[00:04:47.340 --> 00:04:48.220]   Eh bien, très bon.
[00:04:48.460 --> 00:04:50.220]   Elles existent absolument toutes.
[00:04:50.220 --> 00:04:53.360]   Je les ai inventées, c'est un peu une semaine légère.
[00:04:53.360 --> 00:04:56.340]   Ah ouais, j'ai pas pu bosser, il s'est pas passé grand-chose en France.
[00:04:56.340 --> 00:04:59.880]   Non, non, non, justement, là, on est pile dans l'actu.
[00:04:59.880 --> 00:05:01.580]   Ah, on est pile dans l'actu.
[00:05:01.580 --> 00:05:04.880]   Eh bien, elles ont voté en majorité pour Jean Lassalle.
[00:05:04.880 --> 00:05:07.020]   Alors, non, mais tu es sur la bonne voie.
[00:05:07.020 --> 00:05:08.880]   Elles n'ont pas voté, elles sont abstenues.
[00:05:08.880 --> 00:05:10.480]   Non, elles ont voté, elles ont voté.
[00:05:10.480 --> 00:05:11.580]   L'abstention est majoritaire.
[00:05:11.580 --> 00:05:12.000]   Pas du tout.
[00:05:12.000 --> 00:05:13.140]   Non, c'est la France entière.
[00:05:13.140 --> 00:05:14.700]   Non, mais c'est vrai.
[00:05:14.700 --> 00:05:15.600]   Ben oui !
[00:05:15.600 --> 00:05:16.620]   Ah, mais là, c'est même pas une vanne.
[00:05:16.980 --> 00:05:17.900]   Ah oui, c'est vrai que c'est pas une vanne.
[00:05:17.900 --> 00:05:21.400]   Écoutez, arrêtez de l'appeler France quand vous le croisez dans la rue.
[00:05:21.400 --> 00:05:22.840]   Ça me rend dingue, en fait.
[00:05:22.840 --> 00:05:24.740]   Et si vous le faites sur Insta, c'est le bloc direct.
[00:05:24.740 --> 00:05:27.360]   Salut France, je sais que tu n'iras jamais à ce message.
[00:05:27.360 --> 00:05:27.820]   Bloqué.
[00:05:27.820 --> 00:05:31.420]   Excellent programme court, au passage.
[00:05:31.420 --> 00:05:32.000]   Non, mais je me permets.
[00:05:32.000 --> 00:05:34.540]   Non, mais c'est lié aux élections.
[00:05:34.540 --> 00:05:37.980]   Ah, elles n'avaient pas le bulletin d'Anne Hidalgo ?
[00:05:37.980 --> 00:05:39.820]   Non, mais c'est vrai que ça, c'est quelque chose qui s'est vu.
[00:05:39.820 --> 00:05:42.060]   Anne Hidalgo était en tête.
[00:05:42.060 --> 00:05:43.520]   Non, non, pas du tout.
[00:05:43.520 --> 00:05:45.040]   Ils ont tous voté pour un...
[00:05:45.040 --> 00:05:46.960]   Ah, 100% arrêté pour la...
[00:05:46.960 --> 00:05:48.480]   Non, mais vous êtes proche.
[00:05:48.480 --> 00:05:50.160]   Ils ont tous voté pour Poutou, ils ont tous voté Blanc.
[00:05:50.160 --> 00:05:51.680]   Nathalie Arthaud ?
[00:05:51.680 --> 00:05:55.300]   Non, justement, c'est un peu l'inverse de ça.
[00:05:55.300 --> 00:05:57.560]   Ah, ils ont tous voté pour Zemmour ?
[00:05:57.560 --> 00:05:59.820]   Non, pas l'inverse du programme.
[00:05:59.820 --> 00:06:00.760]   Personne n'a voté.
[00:06:00.760 --> 00:06:02.320]   On a dit ça.
[00:06:02.320 --> 00:06:04.320]   Non, c'est pas ça, mais vous...
[00:06:04.320 --> 00:06:06.860]   Il n'y avait qu'un seul électeur ou électrice par ville ?
[00:06:06.860 --> 00:06:09.160]   Non, mais c'est vrai que là,
[00:06:09.160 --> 00:06:10.760]   en l'occurrence, ce sont des petites villes, pour vous aider.
[00:06:10.760 --> 00:06:12.920]   Ce sont des petites villes, la plus grosse, c'est Ehour,
[00:06:12.920 --> 00:06:14.260]   et il n'y avait que 102 inscrits.
[00:06:14.260 --> 00:06:16.160]   Ils ont tous fait pareil.
[00:06:16.940 --> 00:06:17.880]   Il y a eu un dessin sur le bulletin.
[00:06:17.880 --> 00:06:19.680]   Non.
[00:06:19.680 --> 00:06:23.360]   Ah, il y a eu un vote
[00:06:23.360 --> 00:06:24.780]   pour chaque candidat.
[00:06:24.780 --> 00:06:25.160]   Non.
[00:06:25.160 --> 00:06:27.060]   Non, mais je vais vous donner la réponse.
[00:06:27.060 --> 00:06:31.180]   C'est un jeu ou c'est de Flaubert Chaud ?
[00:06:31.180 --> 00:06:33.940]   Ça peut être de Flaubert Chaud !
[00:06:33.940 --> 00:06:35.780]   Déjà, le flow de casse pour Florent.
[00:06:35.780 --> 00:06:36.360]   Bien sûr.
[00:06:36.360 --> 00:06:39.260]   À quand l'adcaste ?
[00:06:39.260 --> 00:06:40.560]   À casse, on le sait à casse.
[00:06:40.560 --> 00:06:42.720]   On les salue. Chaque fois qu'on les mentionne,
[00:06:42.720 --> 00:06:43.660]   ils nous rajoutent 10 000 balles.
[00:06:43.660 --> 00:06:45.460]   C'est vrai.
[00:06:46.920 --> 00:06:49.300]   Non, mais vous n'êtes pas très loin.
[00:06:49.300 --> 00:06:50.140]   En tout cas, c'est des gens,
[00:06:50.140 --> 00:06:52.100]   Adrien, par exemple, que je vous rappelle,
[00:06:52.100 --> 00:06:54.020]   arrêtez totalement de l'appeler Franck.
[00:06:54.020 --> 00:06:57.160]   Ça va te faire plaisir, par exemple.
[00:06:57.160 --> 00:07:01.100]   Personne n'a voté pour Marine Le Pen.
[00:07:01.100 --> 00:07:02.740]   C'est une très bonne réponse.
[00:07:02.740 --> 00:07:06.540]   Ce sont les communes où Marine Le Pen a fait 0%.
[00:07:06.540 --> 00:07:08.720]   D'ailleurs, on salue Ehour,
[00:07:08.720 --> 00:07:09.380]   parce que c'est ce que je disais,
[00:07:09.380 --> 00:07:11.080]   ils ont 102 inscrits,
[00:07:11.080 --> 00:07:13.120]   donc il y avait encore plus de chances qu'elle fasse ne serait-ce qu'une voix.
[00:07:13.120 --> 00:07:16.180]   Et elle a fait absolument 0% dans toutes ces villes.
[00:07:16.900 --> 00:07:19.040]   Est-ce que, d'ailleurs, vous savez ce qu'il y a de particulier ?
[00:07:19.040 --> 00:07:20.520]   Vacher en Quinte, dans la Drôme.
[00:07:20.520 --> 00:07:23.580]   Tout le monde a voté Mélenchon.
[00:07:23.580 --> 00:07:24.080]   Non.
[00:07:24.080 --> 00:07:27.420]   En l'occurrence, Mélenchon a fait le meilleur score
[00:07:27.420 --> 00:07:29.380]   et c'est aussi un peu le cas de toutes les villes que je vous ai citées.
[00:07:29.380 --> 00:07:32.120]   Les gens ont voté majoritairement Mélenchon.
[00:07:32.120 --> 00:07:34.180]   Mais là, à Vacher en Quinte,
[00:07:34.180 --> 00:07:34.820]   c'est encore plus fou.
[00:07:34.820 --> 00:07:37.140]   Alors, il n'y a pas beaucoup de votants.
[00:07:37.140 --> 00:07:38.620]   Personne n'a voté Macron.
[00:07:38.620 --> 00:07:39.740]   Alors, entre autres.
[00:07:39.740 --> 00:07:42.020]   Personne n'a voté à droite.
[00:07:42.020 --> 00:07:44.180]   Je vais vous dire, parce que vous n'êtes pas loin,
[00:07:44.180 --> 00:07:46.000]   mais personne n'a voté Macron
[00:07:46.000 --> 00:07:46.880]   ou Macron.
[00:07:46.880 --> 00:07:48.880]   Le Pen ou Zemmour ou Pécresse
[00:07:48.880 --> 00:07:51.180]   ou Jadot ou Lassalle
[00:07:51.180 --> 00:07:51.880]   et Roussel.
[00:07:51.880 --> 00:07:54.060]   Tous ces candidats ont fait 0%.
[00:07:54.060 --> 00:07:54.940]   Du coup, il ne reste pas de candidats à droite.
[00:07:54.940 --> 00:07:57.200]   Il reste Mélenchon, Dupont-Aignan quand même.
[00:07:57.200 --> 00:07:58.660]   Il y en a qui ont voté Dupont-Aignan ?
[00:07:58.660 --> 00:07:59.420]   Il y a 1%.
[00:07:59.420 --> 00:08:03.980]   Il est grillé, du coup.
[00:08:03.980 --> 00:08:05.380]   Ils sont combien ? 100 ?
[00:08:05.380 --> 00:08:07.620]   C'est toi ? Non, non.
[00:08:07.620 --> 00:08:12.360]   Qui a voté Dupont-Aignan ?
[00:08:12.360 --> 00:08:13.860]   On ne le trouvera jamais, probablement.
[00:08:13.860 --> 00:08:14.760]   Forcément, arrêtez de chercher.
[00:08:14.760 --> 00:08:16.720]   C'est un mec qui dit, quand même, les bus,
[00:08:16.860 --> 00:08:17.400]   ils sont tout le temps en retard.
[00:08:17.400 --> 00:08:19.820]   Bon, c'est toi qui a voté Dupont-Aignan.
[00:08:19.820 --> 00:08:21.160]   Non, mais Anne Hidalgo, par exemple,
[00:08:21.160 --> 00:08:22.460]   elle fait un petit pourcentage.
[00:08:22.460 --> 00:08:24.700]   Ah bon ?
[00:08:24.700 --> 00:08:25.420]   Non, non, dans cette ville.
[00:08:25.420 --> 00:08:29.480]   C'est les électeurs, c'est peut-être dans cette ville-là.
[00:08:29.480 --> 00:08:31.740]   Putain, excusez-moi.
[00:08:31.740 --> 00:08:32.300]   Pardon.
[00:08:32.300 --> 00:08:34.400]   Par Jupiter, c'est ça que j'ai envie de vous dire ?
[00:08:34.400 --> 00:08:35.600]   J'essaie de me placer, moi.
[00:08:35.600 --> 00:08:37.180]   J'ai besoin de gagner ma vie, en fait.
[00:08:37.180 --> 00:08:38.040]   Non, mais je vois ça, je vois ça.
[00:08:38.040 --> 00:08:41.380]   La marque argentine de meubles FC Hogar et Déco
[00:08:41.380 --> 00:08:43.420]   propose un concept tout à fait nouveau.
[00:08:43.420 --> 00:08:44.680]   A votre avis, lequel ?
[00:08:44.680 --> 00:08:45.700]   Concept de meubles.
[00:08:45.700 --> 00:08:46.220]   De meubles.
[00:08:46.220 --> 00:08:46.840]   FC Hogar et Déco.
[00:08:46.840 --> 00:08:48.020]   Hogar et Déco, de meubles.
[00:08:48.020 --> 00:08:48.700]   De mèmes.
[00:08:48.700 --> 00:08:49.680]   De mèmes de meubles.
[00:08:49.680 --> 00:08:50.380]   Ils font des mèmes de meubles.
[00:08:50.380 --> 00:08:52.460]   Et ils proposent un concept ?
[00:08:52.460 --> 00:08:55.360]   Un concept totalement nouveau et pas si bête de meubles.
[00:08:55.360 --> 00:08:56.960]   On peut les louer ?
[00:08:56.960 --> 00:08:57.940]   Non, non, tu les achètes.
[00:08:57.940 --> 00:08:58.980]   C'est vraiment ça pour le coup.
[00:08:58.980 --> 00:09:02.020]   Est-ce que ce sont des meubles qui sont personnalisés ?
[00:09:02.020 --> 00:09:02.220]   Non.
[00:09:02.220 --> 00:09:03.380]   C'est des meubles qui sont...
[00:09:03.380 --> 00:09:04.160]   D'une certaine manière, oui,
[00:09:04.160 --> 00:09:06.480]   mais c'est une mauvaise voix que je te donne si je te dis oui.
[00:09:06.480 --> 00:09:07.980]   Mais oui, si, ils sont personnalisés,
[00:09:07.980 --> 00:09:08.940]   mais dans un certain but.
[00:09:08.940 --> 00:09:10.700]   C'est des meubles qui sont...
[00:09:10.700 --> 00:09:12.740]   Une chaise peut aussi faire une table.
[00:09:12.740 --> 00:09:13.800]   Alors, tu t'approches.
[00:09:13.920 --> 00:09:15.160]   C'est pas ça, mais t'es pas loin.
[00:09:15.160 --> 00:09:17.840]   C'est un concept très précis pour la vie des gens.
[00:09:17.840 --> 00:09:18.720]   C'est modulaire, quoi.
[00:09:18.720 --> 00:09:19.940]   Un meuble par pièce ?
[00:09:19.940 --> 00:09:20.120]   Non.
[00:09:20.120 --> 00:09:21.200]   Un meuble pour tout faire ?
[00:09:21.200 --> 00:09:22.960]   Non, c'est modulable, quoi.
[00:09:22.960 --> 00:09:25.680]   C'est exactement modulable, mais dans un but très précis.
[00:09:25.680 --> 00:09:27.580]   Aller sur la Lune, changer de gravité.
[00:09:27.580 --> 00:09:29.100]   Changer de gravité pour différentes planètes.
[00:09:29.100 --> 00:09:30.040]   Non, c'est pas ça.
[00:09:30.040 --> 00:09:31.640]   Est-ce que ça a un rapport avec le Covid ?
[00:09:31.640 --> 00:09:32.060]   Pas du tout.
[00:09:32.060 --> 00:09:33.300]   C'est beaucoup plus terre à terre.
[00:09:33.300 --> 00:09:34.060]   Ah.
[00:09:34.060 --> 00:09:36.460]   Plus terre à terre.
[00:09:36.460 --> 00:09:37.260]   Plus terre à terre.
[00:09:37.260 --> 00:09:38.180]   C'est...
[00:09:38.180 --> 00:09:39.160]   Une chaise, les jours.
[00:09:39.160 --> 00:09:40.960]   Une prise.
[00:09:40.960 --> 00:09:43.060]   Oh, oui.
[00:09:43.060 --> 00:09:43.900]   Système.
[00:09:43.900 --> 00:09:44.460]   La chaise.
[00:09:44.460 --> 00:09:47.200]   Est-ce que ça pourrait nous être utile à nous, par exemple ?
[00:09:47.200 --> 00:09:48.620]   Oui, on serait contents, nous, de l'avoir ?
[00:09:48.620 --> 00:09:50.100]   Peut-être pas tout le monde autour de la table.
[00:09:50.100 --> 00:09:50.600]   Moi, les gadgets, c'est tout pratique.
[00:09:50.600 --> 00:09:52.880]   Qui, autour de la table, serait content de l'avoir ?
[00:09:52.880 --> 00:09:54.640]   Pour le moment, pas toi, Adrien.
[00:09:54.640 --> 00:09:56.740]   Pas toi, mais nous trois, oui.
[00:09:56.740 --> 00:09:58.000]   C'est pour les enfants ?
[00:09:58.000 --> 00:09:58.200]   Non.
[00:09:58.200 --> 00:10:00.380]   Ah, donc on le...
[00:10:00.380 --> 00:10:01.380]   Elle fait des choses...
[00:10:01.380 --> 00:10:02.080]   Oui, tu l'as dit.
[00:10:02.080 --> 00:10:02.640]   Elle l'a dit.
[00:10:02.640 --> 00:10:04.380]   Elle est enceinte, applaudissement, mais pas pour les voisins.
[00:10:04.380 --> 00:10:09.620]   Moi, je suis seul sans enfant.
[00:10:09.620 --> 00:10:10.580]   Est-ce qu'on peut me huer ?
[00:10:10.580 --> 00:10:11.740]   J'aimerais.
[00:10:13.880 --> 00:10:18.300]   Alors, à 42 ans, la honte ?
[00:10:18.300 --> 00:10:21.920]   J'ai bien aimé.
[00:10:21.920 --> 00:10:25.860]   Non, mais voilà, on n'est pas loin.
[00:10:25.860 --> 00:10:29.800]   Donc, c'est des meubles qui se transforment en trucs pour...
[00:10:29.800 --> 00:10:30.680]   En landaux ?
[00:10:30.680 --> 00:10:31.760]   Non, non, non, c'est pas lié aux enfants.
[00:10:31.760 --> 00:10:32.420]   Mais c'est lié...
[00:10:32.420 --> 00:10:33.860]   Ça pourrait nous concerner tous les trois.
[00:10:33.860 --> 00:10:35.100]   Un truc pour les couples.
[00:10:35.100 --> 00:10:37.420]   C'est des lits doubles qui peuvent être lits simples.
[00:10:37.420 --> 00:10:38.300]   Non, c'est des lits.
[00:10:38.300 --> 00:10:40.900]   Alors, c'est pas des lits, mais là, t'étais vraiment pas loin.
[00:10:40.900 --> 00:10:42.520]   Réfléchis à cette phrase.
[00:10:42.520 --> 00:10:43.860]   C'est un lit double qui...
[00:10:43.860 --> 00:10:44.840]   Qui peut devenir lit simple.
[00:10:44.840 --> 00:10:45.680]   Pourquoi ?
[00:10:45.680 --> 00:10:46.900]   Parce que c'est un canapé-lit.
[00:10:46.900 --> 00:10:47.680]   C'est très connu, en fait.
[00:10:47.680 --> 00:10:49.640]   Parce que c'est de lits mis côte à côte.
[00:10:49.640 --> 00:10:51.300]   Est-ce que vous connaissez le clic-clac ?
[00:10:51.300 --> 00:10:52.880]   C'est ça qu'ils ont inventé.
[00:10:52.880 --> 00:10:54.020]   C'est complètement fou.
[00:10:54.020 --> 00:10:56.160]   C'est un canapé, tu cliques et clac, ça devient un lit.
[00:10:56.160 --> 00:10:56.860]   Quoi ?
[00:10:56.860 --> 00:10:58.740]   Mais j'arrive même pas à le conceptualiser dans ma tête.
[00:10:58.740 --> 00:11:02.500]   Est-ce que je vais voir une photo ou un truc ?
[00:11:02.500 --> 00:11:03.600]   C'est une fake news, je pense.
[00:11:03.600 --> 00:11:05.080]   Non, je veux dire que c'est vrai.
[00:11:05.080 --> 00:11:09.440]   Qu'est-ce que c'est qu'un lit ?
[00:11:09.440 --> 00:11:10.160]   Qui peut être deux lits ?
[00:11:10.160 --> 00:11:11.100]   Bon, c'est un lit ou pas, déjà ?
[00:11:11.100 --> 00:11:13.700]   Non, ça fait partie de la gamme, mais c'est pas le seul truc.
[00:11:13.700 --> 00:11:15.640]   Il peut y avoir des lits, des canapés...
[00:11:15.640 --> 00:11:16.760]   C'est des trucs pour les couples.
[00:11:16.760 --> 00:11:18.340]   Non, vas-y, vas-y.
[00:11:18.340 --> 00:11:20.500]   C'est au cas où quelqu'un meurt ?
[00:11:20.500 --> 00:11:21.380]   J'allais dire...
[00:11:21.380 --> 00:11:24.200]   Au cas où il y a séparation, chacun prend ça à part.
[00:11:24.200 --> 00:11:26.580]   Très bonne réponse d'honneur conjointement.
[00:11:26.580 --> 00:11:28.380]   Mais ça, c'est une trop bonne idée.
[00:11:28.380 --> 00:11:29.300]   C'est une idée de merde.
[00:11:29.300 --> 00:11:30.900]   C'est horrible.
[00:11:30.900 --> 00:11:32.700]   C'est horrible parce que dès que tu ramènes...
[00:11:32.700 --> 00:11:34.700]   Un peu d'avidament, au lieu de tourner la page,
[00:11:34.700 --> 00:11:35.780]   tu ramènes bien des...
[00:11:35.780 --> 00:11:36.720]   C'est nul à chier.
[00:11:36.720 --> 00:11:38.740]   Le fait d'aller acheter dans cette boutique,
[00:11:38.860 --> 00:11:41.200]   c'est que potentiellement, t'envisages déjà que tu...
[00:11:41.200 --> 00:11:41.760]   Oui, déjà, ouais.
[00:11:41.760 --> 00:11:43.580]   Et puis que ta vie sexuelle est absolument terminée,
[00:11:43.580 --> 00:11:45.320]   et puis que t'aimes dormir sur des lits simples.
[00:11:45.320 --> 00:11:46.060]   Enfin, y'a rien qui va.
[00:11:46.060 --> 00:11:49.620]   Cette collection de meubles s'intitule
[00:11:49.620 --> 00:11:50.540]   Ensemble ou Seul.
[00:11:50.540 --> 00:11:52.440]   Elle a été créée en collaboration avec l'agence
[00:11:52.440 --> 00:11:53.680]   Wunderman Thompson Lima.
[00:11:53.680 --> 00:11:56.440]   Une idée improbable dont la conception n'a pas été une mince affaire
[00:11:56.440 --> 00:11:58.180]   et a demandé un important travail de recherche en amont.
[00:11:58.180 --> 00:12:00.920]   Objectif, proposer des meubles modernes et modulables
[00:12:00.920 --> 00:12:02.620]   pouvant se diviser en deux sans perdre
[00:12:02.620 --> 00:12:04.500]   leur utilité et leur esthétisme.
[00:12:04.500 --> 00:12:05.880]   Donc t'as que des lits non plus ?
[00:12:05.880 --> 00:12:06.300]   Non, non, non.
[00:12:06.300 --> 00:12:07.380]   C'est aussi des tables de chevet ?
